기간	자치구	No. of Households	Population	Population	Population	Population	Population	Population	Population	Population	Population	Persons per household	Person 65 years old and over
기간	자치구	No. of Households	Total	Total	Total	Korean	Korean	Korean	Foreigner	Foreigner	Foreigner	Persons per household	Person 65 years old and over
기간	자치구	No. of Households	Total	Man	Woman	Total	Man	Woman	Total	Man	Woman	Persons per household	Person 65 years old and over
2017.3/4	Summary	4219001	10158411	4975437	5182974	9891448	4849195	5042253	266963	126242	140721	2.34450	1353486
2017.3/4	Jongno-gu	73668	164640	80173	84467	155109	76155	78954	9531	4018	5513	2.10551	26034
2017.3/4	Jung-gu	60130	134174	66064	68110	125332	62011	63321	8842	4053	4789	2.08435	21249
2017.3/4	Yongsan-gu	107090	243922	119056	124866	228960	110838	118122	14962	8218	6744	2.13801	36727
2017.3/4	Seongdong-gu	132415	312933	154253	158680	304879	150523	154356	8054	3730	4324	2.30245	40902
2017.3/4	Gwangjin-gu	160085	372414	180737	191677	357743	174534	183209	14671	6203	8468	2.23471	43579
2017.3/4	Dongdaemun-gu	160029	367769	182000	185769	352011	176022	175989	15758	5978	9780	2.19967	55287
2017.3/4	Jungnang-gu	179002	414554	206011	208543	410109	204232	205877	4445	1779	2666	2.29109	58675
2017.3/4	Seongbuk-gu	187822	458261	222474	235787	446457	217785	228672	11804	4689	7115	2.37702	65937
2017.3/4	Gangbuk-gu	142165	329042	160842	168200	325552	159528	166024	3490	1314	2176	2.28996	56078
2017.3/4	Dobong-gu	137269	347338	170134	177204	345293	169388	175905	2045	746	1299	2.51545	52909
2017.3/4	Nowon-gu	218469	562278	273212	289066	558432	271619	286813	3846	1593	2253	2.55612	73588
2017.3/4	Eunpyeong-gu	202391	491899	238733	253166	487507	236870	250637	4392	1863	2529	2.40874	73850
2017.3/4	Seodaemun-gu	137509	326479	156070	170409	314182	151961	162221	12297	4109	8188	2.28481	48985
2017.3/4	Mapo-gu	169626	387776	184480	203296	376610	180037	196573	11166	4443	6723	2.22024	49436
2017.3/4	Yangcheon-gu	176811	476627	235246	241381	472730	233489	239241	3897	1757	2140	2.67365	54598
2017.3/4	Gangseo-gu	252683	607877	296157	311720	601391	293024	308367	6486	3133	3353	2.38002	75046
2017.3/4	Guro-gu	171861	443288	222088	221200	412972	205174	207798	30316	16914	13402	2.40294	58260
2017.3/4	Geumcheon-gu	105862	253646	129741	123905	235608	119738	115870	18038	10003	8035	2.22561	33818
2017.3/4	Yeongdeungpo-gu	166733	401908	202137	199771	368818	184060	184758	33090	18077	15013	2.21203	53620
2017.3/4	Dongjak-gu	173474	410703	199978	210725	398501	194549	203952	12202	5429	6773	2.29718	56902
2017.3/4	Gwanak-gu	254964	522849	263162	259687	505188	254784	250404	17661	8378	9283	1.98141	69486
2017.3/4	Seocho-gu	173885	447177	214389	232788	442833	212189	230644	4344	2200	2144	2.54670	52738
2017.3/4	Gangnam-gu	233583	565731	271093	294638	560827	268592	292235	4904	2501	2403	2.40098	64579
2017.3/4	Songpa-gu	262611	668366	325253	343113	661750	322029	339721	6616	3224	3392	2.51989	75301
2017.3/4	Gangdong-gu	178864	446760	221954	224806	442654	220064	222590	4106	1890	2216	2.47481	55902
